combo_number,n_estimators,contamination,max_samples,max_features,precision,recall,f1
720,300,0.1,768,1.0,0.880085653104925,0.8430769230769231,0.8611838658983761
600,250,0.1,768,1.0,0.8817204301075269,0.841025641025641,0.8608923884514436
480,200,0.1,768,1.0,0.8795698924731182,0.838974358974359,0.8587926509186352
1080,750,0.1,768,1.0,0.8812095032397408,0.8369230769230769,0.8584955286691215
960,500,0.1,768,1.0,0.8828633405639913,0.8348717948717949,0.8581971534001054
1200,1000,0.1,768,1.0,0.8802588996763754,0.8369230769230769,0.8580441640378549
360,150,0.1,768,1.0,0.8766094420600858,0.837948717948718,0.8568432092291557
840,400,0.1,768,1.0,0.8841530054644808,0.8297435897435897,0.8560846560846561
240,100,0.1,768,1.0,0.8694714131607335,0.8266666666666667,0.8475289169295478
120,50,0.1,768,1.0,0.8655913978494624,0.8256410256410256,0.8451443569553806
1199,1000,0.1,768,0.8,0.8773480662983425,0.8143589743589743,0.8446808510638298
588,250,0.07,768,1.0,0.9018691588785047,0.7917948717948718,0.8432550518842162
1188,1000,0.07,768,1.0,0.9028103044496487,0.7907692307692308,0.8430836522689995
1079,750,0.1,768,0.8,0.8743109151047409,0.8133333333333334,0.842720510095643
708,300,0.07,768,1.0,0.9007009345794392,0.7907692307692308,0.8421627525942108
468,200,0.07,768,1.0,0.9014084507042254,0.7876923076923077,0.8407224958949097
959,500,0.1,768,0.8,0.8736141906873615,0.8082051282051282,0.8396377197655833
719,300,0.1,768,0.8,0.8743047830923248,0.8061538461538461,0.8388473852721452
948,500,0.07,768,1.0,0.8990610328638498,0.7856410256410257,0.8385331143951834
1068,750,0.07,768,1.0,0.9,0.7846153846153846,0.8383561643835616
839,400,0.1,768,0.8,0.8713968957871396,0.8061538461538461,0.8375066595631326
1198,1000,0.1,512,1.0,0.87,0.803076923076923,0.8352
828,400,0.07,768,1.0,0.8994082840236687,0.7794871794871795,0.8351648351648352
348,150,0.07,768,1.0,0.901307966706302,0.7774358974358975,0.8348017621145375
1077,750,0.1,512,0.8,0.8715083798882681,0.8,0.8342245989304813
957,500,0.1,512,0.8,0.8687430478309233,0.801025641025641,0.8335112059765208
717,300,0.1,512,0.8,0.8669623059866962,0.8020512820512821,0.8332445391582313
1078,750,0.1,512,1.0,0.8674832962138085,0.798974358974359,0.8318206086492258
477,200,0.1,512,0.8,0.8691275167785235,0.796923076923077,0.8314606741573034
599,250,0.1,768,0.8,0.8691275167785235,0.796923076923077,0.8314606741573034
837,400,0.1,512,0.8,0.8647450110864745,0.8,0.8311134789557805
715,300,0.1,384,0.8,0.8637873754152824,0.8,0.8306709265175719
718,300,0.1,512,1.0,0.8645948945615982,0.798974358974359,0.8304904051172708
835,400,0.1,384,0.8,0.8644444444444445,0.7979487179487179,0.8298666666666666
597,250,0.1,512,0.8,0.8668903803131991,0.7948717948717948,0.8293204922418406
1187,1000,0.07,768,0.8,0.8992805755395683,0.7692307692307693,0.8291873963515755
1197,1000,0.1,512,0.8,0.8702031602708804,0.7907692307692308,0.8285867813003761
838,400,0.1,512,1.0,0.867564534231201,0.7928205128205128,0.8285101822079314
479,200,0.1,768,0.8,0.8692220969560316,0.7907692307692308,0.8281417830290011
595,250,0.1,384,0.8,0.8596685082872928,0.7979487179487179,0.8276595744680851
358,150,0.1,512,1.0,0.8656215005599104,0.7928205128205128,0.8276231263383298
476,200,0.1,384,1.0,0.8780207134637514,0.7825641025641026,0.8275488069414316
598,250,0.1,512,1.0,0.862876254180602,0.7938461538461539,0.8269230769230769
958,500,0.1,512,1.0,0.8662921348314607,0.7907692307692308,0.8268096514745308
478,200,0.1,512,1.0,0.8636871508379889,0.7928205128205128,0.8267379679144385
1067,750,0.07,768,0.8,0.895808383233533,0.7671794871794871,0.8265193370165745
716,300,0.1,384,1.0,0.8741418764302059,0.7835897435897435,0.826392644672796
475,200,0.1,384,0.8,0.8651685393258427,0.7897435897435897,0.8257372654155496
947,500,0.07,768,0.8,0.8966346153846154,0.7651282051282051,0.8256779192030991
596,250,0.1,384,1.0,0.8748564867967853,0.7815384615384615,0.8255687973997833
118,50,0.1,512,1.0,0.8721461187214612,0.7835897435897435,0.8254997298757428
836,400,0.1,384,1.0,0.8747126436781609,0.7805128205128206,0.8249322493224932
357,150,0.1,512,0.8,0.8640449438202247,0.7887179487179488,0.8246648793565684
955,500,0.1,384,0.8,0.8614525139664805,0.7907692307692308,0.8245989304812834
827,400,0.07,768,0.8,0.8954326923076923,0.764102564102564,0.8245711123408965
1076,750,0.1,384,1.0,0.8737083811710677,0.7805128205128206,0.8244853737811484
228,100,0.07,768,1.0,0.9003645200486027,0.76,0.8242491657397107
1196,1000,0.1,384,1.0,0.8691695108077361,0.7835897435897435,0.8241639697950378
356,150,0.1,384,1.0,0.8681818181818182,0.7835897435897435,0.8237196765498652
355,150,0.1,384,0.8,0.8653846153846154,0.7846153846153846,0.8230231307154384
707,300,0.07,768,0.8,0.8939759036144578,0.7610256410256411,0.8221606648199447
956,500,0.1,384,1.0,0.8692660550458715,0.7774358974358975,0.8207904710341094
466,200,0.07,512,1.0,0.9007352941176471,0.7538461538461538,0.8207705192629816
1075,750,0.1,384,0.8,0.8639455782312925,0.7815384615384615,0.8206785137318255
706,300,0.07,512,1.0,0.9017199017199017,0.7528205128205128,0.820570150922303
1186,1000,0.07,512,1.0,0.8975609756097561,0.7548717948717949,0.8200557103064067
117,50,0.1,512,0.8,0.8637911464245176,0.7805128205128206,0.8200431034482759
826,400,0.07,512,1.0,0.8985330073349633,0.7538461538461538,0.8198549916341328
