amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,Hour,Day,IsNight,IsBusinessHours,amount_log,amount_sqrt,balance_change_orig,balance_change_orig_pct,sender_depleted,balance_change_dest,balance_change_dest_pct,receiver_new_account,expected_balance_orig,balance_inconsistent,tx_count_24h,tx_count_7d,avg_amount_30d,max_amount_30d,std_amount_30d,is_amount_unusual,is_new_high_amount,amount_vs_avg_ratio,usual_hour_customer,is_unusual_hour,type_encoded,isFraud
398045.73,398045.73,0.0,0.0,0.0,0,27,1,0,12.89432468943462,630.9086542440197,-398045.73,-0.9999974877321565,1,0.0,0.0,1,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,2.4068601055982275,-1.0,0,4,1
345526.4,345526.4,0.0,210291.99,555818.38,23,2,1,0,12.752827224399917,587.8149368636357,-345526.4,-0.999997105873514,1,345526.39,1.6430713643854702,0,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,2.08929187003457,-1.0,0,1,1
955505.54,955505.54,0.0,466930.46,1422436.0,13,7,0,1,13.769996887223028,977.4996368285771,-955505.54,-0.9999989534346881,1,955505.54,2.046350742783534,0,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,1,1,5.777648123254812,-1.0,0,1,1
948288.3,948288.3,0.0,0.0,0.0,3,7,1,0,13.76241490345901,973.8009550210967,-948288.3,-0.9999989454694891,1,0.0,0.0,1,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,1,1,5.734007692723054,-1.0,0,4,1
214760.72,214760.72,0.0,151605.62,366366.35,21,26,0,0,12.277284413444647,463.42283068489405,-214760.72,-0.9999953436767036,1,214760.72999999998,1.4165656486504348,0,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,1.2985920216191025,-1.0,0,1,1
8402.46,2797417.23,2805819.68,54876.18,46473.72,10,16,0,1,9.03639880478383,91.66493331694514,8402.450000000186,0.003003644542632507,0,-8402.46,-0.1531139172967707,0,2789014.77,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.050807091343210445,-1.0,0,0,0
600908.72,1709498.57,1108589.86,1484096.89,2085005.61,13,0,0,1,13.30619998592759,775.1830235499227,-600908.71,-0.3515114718630786,0,600908.7200000002,0.4048983049224605,0,1108589.85,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,1,1,3.633510213196096,-1.0,0,4,0
116419.58,116419.58,0.0,0.0,0.0,22,8,1,0,11.664964602775179,341.2031359762099,-116419.58,-0.9999914104533751,1,0.0,0.0,1,0.0,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.703953394029629,-1.0,0,4,1
15727.29,0.0,0.0,0.0,0.0,21,11,0,0,9.663216280670675,125.40849253539412,0.0,0.0,1,0.0,0.0,1,-15727.29,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.09509808551438034,-1.0,0,3,0
139910.34,0.0,0.0,433988.02,573898.36,12,13,0,1,11.848764215267057,374.0459062735482,0.0,0.0,1,139910.33999999997,0.3223822114209248,0,-139910.34,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.8459947948862155,-1.0,0,1,0
137964.09,2563040.37,2701004.46,1024537.98,886573.89,14,22,0,1,11.834755961122285,371.43517604018064,137964.08999999985,0.05382827277579209,0,-137964.08999999997,-0.13465967883427918,0,2425076.2800000003,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.834226419728616,-1.0,0,0,0
10000000.0,22625132.51,12625132.51,0.0,0.0,12,21,0,1,16.118095750958314,3162.2776601683795,-10000000.000000002,-0.4419863421172802,0,0.0,0.0,1,12625132.510000002,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,1,1,60.46692438072951,-1.0,0,4,1
31072.85,100560.0,69487.15,54767.18,134024.02,20,0,0,0,10.34412190845358,176.27492731525945,-31072.850000000006,-0.3089950378377304,0,79256.84,1.4471329885345834,0,69487.15,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,0,0.18788796712437508,-1.0,0,1,0
321239.99,7289434.44,7610674.43,1867973.69,1546733.7,16,5,0,1,12.679946868105644,566.7803719254929,321239.9899999993,0.04406925510818425,0,-321239.99,-0.1719723461563604,0,6968194.45,0,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,1.9424394183396303,-1.0,0,0,0
205222.6,43197.0,0.0,0.0,205222.6,16,24,0,1,12.231855395412227,453.01501078882586,-43197.0,-0.9999768507801287,1,205222.6,205222.6,1,-162025.6,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,1.24091794354167,-1.0,0,1,0
191832.38,12246.0,0.0,0.0,191832.38,17,10,0,1,12.16438246174266,437.98673495894826,-12246.0,-0.9999183473503716,1,191832.38,191832.38,1,-179586.38,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,1.1599514015235368,-1.0,0,1,0
357849.48,0.0,0.0,8495209.43,8853058.91,11,8,0,1,12.787870524509982,598.2052156242037,0.0,0.0,1,357849.48000000045,0.04212367462214829,0,-357849.48,1,0.0,0.0,165378.66999999998,165378.66999999998,0.0,0,1,2.1638057446843377,-1.0,0,1,0
