step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud
164,PAYMENT,3924.62,C1175422661,540331.26,536406.63,M646512336,0.0,0.0,0
367,TRANSFER,240427.17,C1605606339,240427.17,0.0,C1490951962,0.0,0.0,0
149,CASH_OUT,2860852.43,C1729277361,2860852.43,0.0,C180584877,83784.78,2944637.21,0
358,PAYMENT,6741.81,C1466764951,0.0,0.0,M25695065,0.0,0.0,0
610,TRANSFER,528149.74,C1626028230,528149.74,0.0,C581480789,0.0,0.0,0
621,TRANSFER,662104.87,C680679578,662104.87,0.0,C1772715697,0.0,0.0,0
596,PAYMENT,7307.37,C275028759,41373.0,34065.63,M1930843732,0.0,0.0,0
282,TRANSFER,1564952.45,C629586313,1564952.45,0.0,C1455441371,0.0,0.0,0
45,CASH_OUT,1069508.42,C1958391057,1069508.42,0.0,C1813915360,172254.0,1439496.96,0
188,PAYMENT,9626.1,C90325710,20073.0,10446.9,M1756516167,0.0,0.0,0
583,TRANSFER,135100.36,C126999863,135100.36,0.0,C1842013922,0.0,0.0,0
52,CASH_OUT,128426.58,C742996578,128426.58,0.0,C11731793,0.0,128426.58,0
739,CASH_OUT,8116.53,C564539602,8116.53,0.0,C1935865739,7638.26,15754.79,0
262,PAYMENT,4723.4,C1805144338,0.0,0.0,M431951252,0.0,0.0,0
203,CASH_OUT,27421.84,C419588413,0.0,0.0,C1399048478,1096392.05,1123813.89,0
425,TRANSFER,10000000.0,C1551381510,49585040.37,39585040.37,C1042012237,0.0,0.0,0
504,TRANSFER,1380940.73,C355341825,1380940.73,0.0,C1803466498,0.0,0.0,0
226,TRANSFER,128413.82,C1826574195,0.0,0.0,C1432337542,1279475.86,1407889.67,0
183,TRANSFER,224378.1,C1246119241,224378.1,0.0,C1893337612,0.0,0.0,0
158,PAYMENT,15245.13,C303264409,0.0,0.0,M1357817884,0.0,0.0,0
206,CASH_OUT,192021.87,C1535597971,14421.0,0.0,C967097065,657861.87,849883.74,0
103,TRANSFER,710385.55,C845451769,710385.55,0.0,C453650328,0.0,0.0,0
372,CASH_OUT,81814.51,C1253505157,81814.51,0.0,C1241749238,203160.15,284974.66,0
254,PAYMENT,9278.7,C535054152,11415.0,2136.3,M1019395761,0.0,0.0,0
430,TRANSFER,326394.8,C541833778,326394.8,0.0,C36684141,0.0,0.0,0
380,PAYMENT,579.73,C453846405,3892.0,3312.27,M80783408,0.0,0.0,0
349,CASH_OUT,319974.69,C1622600988,319974.69,0.0,C1717143269,14890.19,334864.88,0
311,CASH_OUT,1275236.3,C937991476,1275236.3,0.0,C329005682,10656.62,1285892.92,0
68,TRANSFER,2026529.56,C607970446,2026529.56,0.0,C1306842666,0.0,0.0,0
625,CASH_OUT,10000000.0,C138482312,10000000.0,0.0,C1166027089,2160858.93,12160858.93,0
14,CASH_IN,144736.21,C838101314,5754275.9,5899012.12,C1394568230,1656341.02,1511604.8,0
436,TRANSFER,1532229.72,C338287923,1532229.72,0.0,C522956447,0.0,0.0,0
132,CASH_OUT,83126.2,C2047727666,296872.0,213745.8,C1890273596,0.0,83126.2,0
